,DATETIME,DATE,TIME,PEAK_OFFPEAK,HOKKAIDO,TOHOKU,TOKYO,CHUBU,HOKURIKU,KANSAI,CHUGOKU,SHIKOKU,KYUSHU,AMOUNT_OF_BIDS_SOLD_(KWH),AMOUNT_OF_BIDS_PURCHASED_(KWH),TOTAL_CONTRACTED_QUANTITY_(KWH)
4354,2023-04-01 17:00:00,2023-04-01,17:00:00,offpeak,14.04,14.04,14.04,8.18,8.18,8.18,8.18,8.18,8.18,23233250.0,13900350.0,12384700.0
4355,2023-04-01 17:30:00,2023-04-01,17:30:00,offpeak,14.79,14.79,14.79,14.79,14.79,14.79,14.79,14.79,14.79,21625200.0,14654450.0,12544000.0
4356,2023-04-01 18:00:00,2023-04-01,18:00:00,offpeak,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,22410350.0,16185250.0,13614150.0
4357,2023-04-01 18:30:00,2023-04-01,18:30:00,offpeak,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,14.82,22386400.0,16556850.0,13935000.0
4358,2023-04-01 19:00:00,2023-04-01,19:00:00,offpeak,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,22390100.0,16680600.0,14086100.0
4359,2023-04-01 19:30:00,2023-04-01,19:30:00,offpeak,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,22280450.0,16538300.0,13881850.0
4360,2023-04-01 20:00:00,2023-04-01,20:00:00,offpeak,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,22178550.0,16303200.0,13704150.0
4361,2023-04-01 20:30:00,2023-04-01,20:30:00,offpeak,14.24,14.24,14.24,14.0,14.0,14.0,14.0,14.0,14.0,22068650.0,16238950.0,13528400.0
4362,2023-04-01 21:00:00,2023-04-01,21:00:00,offpeak,14.23,14.23,14.23,13.13,13.13,13.13,13.13,13.13,13.13,22122650.0,16053700.0,13509750.0
4363,2023-04-01 21:30:00,2023-04-01,21:30:00,offpeak,14.22,14.22,14.22,11.1,11.1,11.1,11.1,11.1,11.1,22012100.0,16044850.0,13418800.0
4364,2023-04-01 22:00:00,2023-04-01,22:00:00,offpeak,14.38,14.38,14.38,14.38,10.56,10.56,10.56,10.56,10.56,21431650.0,16323600.0,13590850.0
4365,2023-04-01 22:30:00,2023-04-01,22:30:00,offpeak,14.22,14.22,14.22,14.22,10.32,10.32,10.32,10.32,10.32,21144550.0,15985800.0,13322150.0
4366,2023-04-01 23:00:00,2023-04-01,23:00:00,offpeak,14.21,14.21,14.21,14.21,10.17,10.17,10.17,10.17,10.17,20402550.0,15567550.0,12803700.0
4367,2023-04-01 23:30:00,2023-04-01,23:30:00,offpeak,14.13,14.13,14.13,10.8,10.8,10.8,10.8,10.8,10.8,19754450.0,15135750.0,12575600.0
4368,2023-04-02 00:00:00,2023-04-02,00:00:00,offpeak,16.53,14.65,14.65,10.5,10.5,10.5,10.5,10.5,10.5,17520050.0,15500600.0,12524400.0
4369,2023-04-02 00:30:00,2023-04-02,00:30:00,offpeak,14.13,14.13,14.13,10.8,10.8,10.8,10.8,10.8,10.8,19337800.0,15457600.0,12614950.0
4370,2023-04-02 01:00:00,2023-04-02,01:00:00,offpeak,11.3,11.3,11.3,10.82,10.82,10.82,10.82,10.82,10.82,20214600.0,15349500.0,12571600.0
